2022-02-09,250
2022-02-10,283
2022-02-11,316
2022-02-12,351
2022-02-13,389
2022-02-14,422
2022-02-15,447
2022-02-16,464
2022-02-17,498
2022-02-18,515
2022-02-19,535
2022-02-20,556
2022-02-21,576
2022-02-22,590
2022-02-23,601
2022-02-24,607
2022-02-25,612
2022-02-26,624
2022-02-27,627
2022-02-28,628
2022-03-01,629
2022-03-02,628
2022-03-03,630
2022-03-04,630
2022-03-05,634
2022-03-06,637
2022-03-07,639
2022-03-08,641
2022-03-09,643
2022-03-10,645
2022-03-11,645
2022-03-12,647
2022-03-13,648
2022-03-14,647
2022-03-15,648
2022-03-16,649
2022-03-17,651
2022-03-18,650
2022-03-19,651
2022-03-20,654
2022-03-21,656
2022-03-23,656
2022-03-24,656
2022-03-25,656
2022-03-26,657
2022-03-27,658
2022-03-28,658
2022-03-29,657
2022-03-30,659
2022-03-31,660
2022-04-01,662
2022-04-02,663
2022-04-03,664
2022-04-04,665
2022-04-05,667
2022-04-06,667
2022-04-07,669
2022-04-08,670
2022-04-09,669
2022-04-10,673
2022-04-11,673
2022-04-12,673
2022-04-13,675
2022-04-14,677
2022-04-15,678
2022-04-16,678
2022-04-17,677
2022-04-18,677
2022-04-19,679
2022-04-20,679
2022-04-21,680
2022-04-22,680
2022-04-23,681
2022-04-24,682
2022-04-25,680
2022-04-26,680
2022-04-27,680
2022-04-28,680
2022-04-29,680
2022-04-30,679
2022-05-01,678
2022-05-02,678
2022-05-03,678
2022-05-04,676
2022-05-05,676
2022-05-06,675
2022-05-07,675
2022-05-08,675
2022-05-09,673
2022-05-10,673
2022-05-11,674
2022-05-12,674
2022-05-13,674
2022-05-14,674
2022-05-15,674
2022-05-16,675
2022-05-17,675
2022-05-18,675
2022-05-19,675
2022-05-20,675
2022-05-21,674
2022-05-22,674
2022-05-23,674
2022-05-24,673
2022-05-25,673
2022-05-26,673
2022-05-27,674
2022-05-28,673
2022-05-29,671
2022-05-30,672
2022-05-31,672
2022-06-01,672
2022-06-02,671
2022-06-03,671
2022-06-04,671
2022-06-05,672
2022-06-06,672
2022-06-07,673
2022-06-08,673
2022-06-09,673
2022-06-10,673
2022-06-11,676
2022-06-12,676
2022-06-13,676
2022-06-14,676
2022-06-15,675
2022-06-16,675
2022-06-17,675
2022-06-18,674
2022-06-19,674
2022-06-20,674
2022-06-21,671
2022-06-22,672
2022-06-23,671
2022-06-24,671
2022-06-25,672
2022-06-26,672
2022-06-27,673
2022-06-28,673
2022-06-29,675
2022-06-30,675
2022-07-01,675
2022-07-02,678
2022-07-03,680
2022-07-04,681
2022-07-05,683
2022-07-06,683
2022-07-07,685
2022-07-08,687
2022-07-09,688
2022-07-10,688
2022-07-11,686
2022-07-12,684
2022-07-13,686
2022-07-14,687
2022-07-15,688
2022-07-16,688
2022-07-17,689
2022-07-18,689
2022-07-19,689
2022-07-20,690
2022-07-21,690
2022-07-22,690
2022-07-23,692
2022-07-24,692
2022-07-25,694
2022-07-26,696
2022-07-27,696
2022-07-28,695
2022-07-29,695
2022-07-30,696
2022-07-31,696
2022-08-01,696
2022-08-02,696
2022-08-03,696
2022-08-04,696
2022-08-05,696
2022-08-06,696
2022-08-07,696
2022-08-08,695
2022-08-09,693
2022-08-10,692
2022-08-11,692
2022-08-12,692
2022-08-13,692
2022-08-14,692
2022-08-15,692
2022-08-16,692
2022-08-17,692
2022-08-18,692
